NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;
10;1;40;2:00.326;0;;27.621;0;45.288;0;47.417;0;163.7;1:34:02.446;13:19:30.776;0:27.621;0:45.288;0:47.417;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
12;1;1;2:12.738;0;;35.328;0;48.881;0;48.529;0;148.4;2:12.738;11:47:41.068;0:35.328;0:48.881;0:48.529;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;2;2:03.791;0;;28.679;0;47.027;0;48.085;0;159.1;4:16.529;11:49:44.859;0:28.679;0:47.027;0:48.085;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;FCY;
12;1;3;2:31.114;0;;32.221;0;1:01.381;0;57.512;0;130.4;6:47.643;11:52:15.973;0:32.221;1:01.381;0:57.512;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;FCY;
12;1;4;2:52.496;0;;43.099;0;1:07.258;0;1:02.139;0;114.2;9:40.139;11:55:08.469;0:43.099;1:07.258;1:02.139;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;5;2:01.745;0;;27.585;0;46.814;0;47.346;0;161.8;11:41.884;11:57:10.214;0:27.585;0:46.814;0:47.346;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;6;2:01.145;0;;27.289;0;46.188;0;47.668;0;162.6;13:43.029;11:59:11.359;0:27.289;0:46.188;0:47.668;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;7;2:02.205;0;;28.171;0;46.808;0;47.226;0;161.2;15:45.234;12:01:13.564;0:28.171;0:46.808;0:47.226;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;8;2:01.366;0;;27.650;0;46.373;0;47.343;0;162.3;17:46.600;12:03:14.930;0:27.650;0:46.373;0:47.343;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;9;2:01.313;0;;27.299;0;46.216;0;47.798;0;162.4;19:47.913;12:05:16.243;0:27.299;0:46.216;0:47.798;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;10;2:01.136;0;;27.897;0;45.858;0;47.381;0;162.6;21:49.049;12:07:17.379;0:27.897;0:45.858;0:47.381;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;11;1:59.491;0;;27.410;0;45.535;0;46.546;1;164.9;23:48.540;12:09:16.870;0:27.410;0:45.535;0:46.546;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;12;2:03.221;0;;28.591;0;47.240;0;47.390;0;159.9;25:51.761;12:11:20.091;0:28.591;0:47.240;0:47.390;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;13;2:00.747;0;;27.558;0;46.473;0;46.716;0;163.1;27:52.508;12:13:20.838;0:27.558;0:46.473;0:46.716;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;14;2:00.724;0;;27.298;0;46.084;0;47.342;0;163.2;29:53.232;12:15:21.562;0:27.298;0:46.084;0:47.342;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;15;2:00.214;0;;27.308;0;45.895;0;47.011;0;163.9;31:53.446;12:17:21.776;0:27.308;0:45.895;0:47.011;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;16;1:59.276;0;;27.211;1;45.371;0;46.694;0;165.1;33:52.722;12:19:21.052;0:27.211;0:45.371;0:46.694;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;17;2:00.115;0;;27.529;0;45.681;0;46.905;0;164.0;35:52.837;12:21:21.167;0:27.529;0:45.681;0:46.905;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;18;2:00.640;0;;27.307;0;46.285;0;47.048;0;163.3;37:53.477;12:23:21.807;0:27.307;0:46.285;0:47.048;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;19;2:00.360;0;;27.375;0;45.724;0;47.261;0;163.7;39:53.837;12:25:22.167;0:27.375;0:45.724;0:47.261;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;20;1:59.871;0;;27.305;0;45.435;0;47.131;0;164.3;41:53.708;12:27:22.038;0:27.305;0:45.435;0:47.131;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;21;1:59.718;0;;27.373;0;45.300;1;47.045;0;164.5;43:53.426;12:29:21.756;0:27.373;0:45.300;0:47.045;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;22;1:59.758;0;;27.253;0;45.416;0;47.089;0;164.5;45:53.184;12:31:21.514;0:27.253;0:45.416;0:47.089;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;23;2:00.318;0;;27.564;0;45.977;0;46.777;0;163.7;47:53.502;12:33:21.832;0:27.564;0:45.977;0:46.777;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;24;1:59.855;0;;27.276;0;45.506;0;47.073;0;164.4;49:53.357;12:35:21.687;0:27.276;0:45.506;0:47.073;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;1;25;2:16.400;0;B;27.651;0;45.495;0;1:03.254;0;144.4;52:09.757;12:37:38.087;0:27.651;0:45.495;1:03.254;;Rafael Martinez;;GS;B;RAFA Racing;Toyota;GF;
12;2;26;3:25.072;0;;1:46.597;0;50.112;0;48.363;0;96.1;55:34.829;12:41:03.159;1:46.597;0:50.112;0:48.363;;Jim Jonsin;0:01:35.949;GS;B;RAFA Racing;Toyota;FCY;
12;2;27;3:02.092;0;;28.298;0;1:10.293;0;1:23.501;0;108.2;58:36.921;12:44:05.251;0:28.298;1:10.293;1:23.501;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;28;3:00.963;0;;46.865;0;1:09.412;0;1:04.686;0;108.9;1:01:37.884;12:47:06.214;0:46.865;1:09.412;1:04.686;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;29;2:58.815;0;;32.679;0;1:10.367;0;1:15.769;0;110.2;1:04:36.699;12:50:05.029;0:32.679;1:10.367;1:15.769;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;30;3:05.935;0;;51.704;0;1:14.331;0;59.900;0;105.9;1:07:42.634;12:53:10.964;0:51.704;1:14.331;0:59.900;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;31;2:04.746;0;;29.809;0;48.332;0;46.605;0;157.9;1:09:47.380;12:55:15.710;0:29.809;0:48.332;0:46.605;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;32;2:00.568;0;;27.389;0;45.491;0;47.688;0;163.4;1:11:47.948;12:57:16.278;0:27.389;0:45.491;0:47.688;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;33;2:05.851;0;;28.789;0;47.786;0;49.276;0;156.5;1:13:53.799;12:59:22.129;0:28.789;0:47.786;0:49.276;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;34;2:00.917;0;;27.974;0;45.783;0;47.160;0;162.9;1:15:54.716;13:01:23.046;0:27.974;0:45.783;0:47.160;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;35;2:01.602;0;;27.947;0;46.851;0;46.804;0;162.0;1:17:56.318;13:03:24.648;0:27.947;0:46.851;0:46.804;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;36;1:59.895;0;;27.271;0;46.054;0;46.570;0;164.3;1:19:56.213;13:05:24.543;0:27.271;0:46.054;0:46.570;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;37;2:01.602;0;;27.301;0;46.160;0;48.141;0;162.0;1:21:57.815;13:07:26.145;0:27.301;0:46.160;0:48.141;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;38;2:00.380;0;;27.670;0;46.086;0;46.624;0;163.6;1:23:58.195;13:09:26.525;0:27.670;0:46.086;0:46.624;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;39;1:58.042;0;;27.209;0;44.855;0;45.978;0;166.9;1:25:56.237;13:11:24.567;0:27.209;0:44.855;0:45.978;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;40;1:58.269;0;;27.242;0;44.868;0;46.159;0;166.6;1:27:54.506;13:13:22.836;0:27.242;0:44.868;0:46.159;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;41;1:58.915;0;;27.592;0;45.121;0;46.202;0;165.7;1:29:53.421;13:15:21.751;0:27.592;0:45.121;0:46.202;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;42;1:58.253;0;;27.473;0;44.598;0;46.182;0;166.6;1:31:51.674;13:17:20.004;0:27.473;0:44.598;0:46.182;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;43;1:58.450;0;;27.379;0;45.192;0;45.879;0;166.3;1:33:50.124;13:19:18.454;0:27.379;0:45.192;0:45.879;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;44;1:58.064;0;;27.368;0;44.838;0;45.858;0;166.8;1:35:48.188;13:21:16.518;0:27.368;0:44.838;0:45.858;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;45;1:57.769;0;;27.304;0;44.625;0;45.840;2;167.3;1:37:45.957;13:23:14.287;0:27.304;0:44.625;0:45.840;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;46;1:57.645;0;;26.974;2;44.635;0;46.036;0;167.4;1:39:43.602;13:25:11.932;0:26.974;0:44.635;0:46.036;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;47;1:58.710;0;;27.753;0;44.882;0;46.075;0;165.9;1:41:42.312;13:27:10.642;0:27.753;0:44.882;0:46.075;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;48;1:58.076;0;;27.095;0;44.925;0;46.056;0;166.8;1:43:40.388;13:29:08.718;0:27.095;0:44.925;0:46.056;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;49;1:58.482;0;;27.473;0;45.086;0;45.923;0;166.3;1:45:38.870;13:31:07.200;0:27.473;0:45.086;0:45.923;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;50;2:15.144;0;;31.996;0;55.065;0;48.083;0;145.8;1:47:54.014;13:33:22.344;0:31.996;0:55.065;0:48.083;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;51;2:44.217;0;;29.094;0;1:17.334;0;57.789;0;120.0;1:50:38.231;13:36:06.561;0:29.094;1:17.334;0:57.789;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;52;2:00.724;0;;27.934;0;46.164;0;46.626;0;163.2;1:52:38.955;13:38:07.285;0:27.934;0:46.164;0:46.626;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;53;1:57.429;2;;27.039;0;44.532;2;45.858;0;167.7;1:54:36.384;13:40:04.714;0:27.039;0:44.532;0:45.858;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;GF;
12;2;54;2:03.214;0;;27.216;0;44.972;0;51.026;0;159.9;1:56:39.598;13:42:07.928;0:27.216;0:44.972;0:51.026;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;55;3:24.791;0;;48.571;0;1:19.168;0;1:17.052;0;96.2;2:00:04.389;13:45:32.719;0:48.571;1:19.168;1:17.052;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FCY;
12;2;56;3:26.515;0;;53.438;0;1:15.617;0;1:17.460;0;95.4;2:03:30.904;13:48:59.234;0:53.438;1:15.617;1:17.460;;Jim Jonsin;;GS;B;RAFA Racing;Toyota;FF;
13;1;1;1:59.216;0;;28.163;0;45.183;0;45.870;0;165.2;1:59.216;11:47:27.546;0:28.163;0:45.183;0:45.870;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;2;1:57.028;0;;27.020;0;44.290;0;45.718;0;168.3;3:56.244;11:49:24.574;0:27.020;0:44.290;0:45.718;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;3;2:26.067;0;;28.566;0;59.276;0;58.225;0;134.9;6:22.311;11:51:50.641;0:28.566;0:59.276;0:58.225;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;FCY;
13;1;4;3:10.938;0;;45.575;0;1:17.611;0;1:07.752;0;103.2;9:33.249;11:55:01.579;0:45.575;1:17.611;1:07.752;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;5;1:58.137;0;;27.467;0;45.038;0;45.632;0;166.7;11:31.386;11:56:59.716;0:27.467;0:45.038;0:45.632;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;6;1:56.618;0;;26.996;0;44.021;0;45.601;0;168.9;13:28.004;11:58:56.334;0:26.996;0:44.021;0:45.601;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;7;1:56.751;0;;27.143;0;44.079;0;45.529;0;168.7;15:24.755;12:00:53.085;0:27.143;0:44.079;0:45.529;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;8;1:56.567;0;;26.975;0;44.025;0;45.567;0;169.0;17:21.322;12:02:49.652;0:26.975;0:44.025;0:45.567;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;9;1:56.666;0;;26.939;0;43.977;1;45.750;0;168.8;19:17.988;12:04:46.318;0:26.939;0:43.977;0:45.750;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;10;1:56.488;2;;26.902;0;44.149;0;45.437;2;169.1;21:14.476;12:06:42.806;0:26.902;0:44.149;0:45.437;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;11;1:56.544;0;;26.906;0;44.072;0;45.566;0;169.0;23:11.020;12:08:39.350;0:26.906;0:44.072;0:45.566;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;12;1:56.720;0;;26.873;0;44.233;0;45.614;0;168.8;25:07.740;12:10:36.070;0:26.873;0:44.233;0:45.614;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;13;1:56.809;0;;26.870;0;44.332;0;45.607;0;168.6;27:04.549;12:12:32.879;0:26.870;0:44.332;0:45.607;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;14;1:57.225;0;;26.933;0;44.311;0;45.981;0;168.0;29:01.774;12:14:30.104;0:26.933;0:44.311;0:45.981;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;15;1:56.839;0;;26.969;0;44.185;0;45.685;0;168.6;30:58.613;12:16:26.943;0:26.969;0:44.185;0:45.685;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;16;1:56.872;0;;26.970;0;44.266;0;45.636;0;168.5;32:55.485;12:18:23.815;0:26.970;0:44.266;0:45.636;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;17;1:56.903;0;;26.965;0;44.231;0;45.707;0;168.5;34:52.388;12:20:20.718;0:26.965;0:44.231;0:45.707;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;18;1:56.817;0;;26.812;1;44.248;0;45.757;0;168.6;36:49.205;12:22:17.535;0:26.812;0:44.248;0:45.757;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;19;1:56.725;0;;26.889;0;44.174;0;45.662;0;168.8;38:45.930;12:24:14.260;0:26.889;0:44.174;0:45.662;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;20;1:56.978;0;;26.814;0;44.293;0;45.871;0;168.4;40:42.908;12:26:11.238;0:26.814;0:44.293;0:45.871;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;21;1:57.108;0;;26.887;0;44.370;0;45.851;0;168.2;42:40.016;12:28:08.346;0:26.887;0:44.370;0:45.851;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;22;1:56.931;0;;26.874;0;44.261;0;45.796;0;168.5;44:36.947;12:30:05.277;0:26.874;0:44.261;0:45.796;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;23;1:57.292;0;;27.093;0;44.500;0;45.699;0;167.9;46:34.239;12:32:02.569;0:27.093;0:44.500;0:45.699;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;24;1:57.041;0;;26.924;0;44.337;0;45.780;0;168.3;48:31.280;12:33:59.610;0:26.924;0:44.337;0:45.780;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;25;1:59.161;0;;27.431;0;44.892;0;46.838;0;165.3;50:30.441;12:35:58.771;0:27.431;0:44.892;0:46.838;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;1;26;2:09.956;0;B;26.890;0;44.347;0;58.719;0;151.6;52:40.397;12:38:08.727;0:26.890;0:44.347;0:58.719;;Jenson Altzman;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
13;2;27;3:23.398;0;;1:33.813;0;50.461;0;59.124;0;96.8;56:03.795;12:41:32.125;1:33.813;0:50.461;0:59.124;;Chad McCumbee;0:01:23.292;GS;;McCumbee McAleer Racing with Aerosport;Ford;FCY;
13;2;28;2:48.377;0;B;37.745;0;52.036;0;1:18.596;0;117.0;58:52.172;12:44:20.502;0:37.745;0:52.036;1:18.596;;Chad McCumbee;;GS;;McCumbee McAleer Racing with Aerosport;Ford;FCY;
13;2;29;2:58.494;0;;53.403;0;1:00.930;0;1:04.161;0;110.4;1:01:50.666;12:47:18.996;0:53.403;1:00.930;1:04.161;;Chad McCumbee;0:00:42.362;GS;;McCumbee McAleer Racing with Aerosport;Ford;FCY;
13;2;30;2:50.597;0;;33.942;0;1:01.592;0;1:15.063;0;115.5;1:04:41.263;12:50:09.593;0:33.942;1:01.592;1:15.063;;Chad McCumbee;;GS;;McCumbee McAleer Racing with Aerosport;Ford;FCY;
13;2;31;3:02.478;0;;52.527;0;1:13.497;0;56.454;0;107.9;1:07:43.741;12:53:12.071;0:52.527;1:13.497;0:56.454;;Chad McCumbee;;GS;;McCumbee McAleer Racing with Aerosport;Ford;GF;
